"","Date","temp_K"
"1","2005-01-01 01:30:00",294.337677001953
"2","2005-01-01 04:30:00",292.455047607422
"3","2005-01-01 07:30:00",293.345581054688
"4","2005-01-01 10:30:00",292.573547363281
"5","2005-01-01 13:30:00",292.380004882812
"6","2005-01-01 16:30:00",293.968933105469
"7","2005-01-01 19:30:00",296.558715820312
"8","2005-01-01 22:30:00",297
"9","2005-01-02 01:30:00",295.375183105469
"10","2005-01-02 04:30:00",293.641021728516
"11","2005-01-02 07:30:00",291.736328125
"12","2005-01-02 10:30:00",291.501403808594
"13","2005-01-02 13:30:00",291.260009765625
"14","2005-01-02 16:30:00",292.407592773438
"15","2005-01-02 19:30:00",298
"16","2005-01-02 22:30:00",297.86181640625
"17","2005-01-03 01:30:00",293.881378173828
"18","2005-01-03 04:30:00",291.759948730469
"19","2005-01-03 07:30:00",290.377075195312
"20","2005-01-03 10:30:00",289.967224121094
"21","2005-01-03 13:30:00",289.929992675781
"22","2005-01-03 16:30:00",291.640197753906
"23","2005-01-03 19:30:00",298.619995117188
"24","2005-01-03 22:30:00",297.034973144531
"25","2005-01-04 01:30:00",293.159454345703
"26","2005-01-04 04:30:00",290.210205078125
"27","2005-01-04 07:30:00",290.677185058594
"28","2005-01-04 10:30:00",290.554138183594
"29","2005-01-04 13:30:00",290.420013427734
"30","2005-01-04 16:30:00",292.073364257812
"31","2005-01-04 19:30:00",299.010009765625
"32","2005-01-04 22:30:00",296.925872802734
"33","2005-01-05 01:30:00",293.702850341797
"34","2005-01-05 04:30:00",291.393188476562
"35","2005-01-05 07:30:00",291.522735595703
"36","2005-01-05 10:30:00",291.191101074219
"37","2005-01-05 13:30:00",291.680389404297
"38","2005-01-05 16:30:00",292.726440429688
"39","2005-01-05 19:30:00",297.554138183594
"40","2005-01-05 22:30:00",298.929992675781
"41","2005-01-06 01:30:00",294.210205078125
"42","2005-01-06 04:30:00",290.929992675781
"43","2005-01-06 07:30:00",291.803192138672
"44","2005-01-06 10:30:00",291.339996337891
"45","2005-01-06 13:30:00",291.695556640625
"46","2005-01-06 16:30:00",293.298248291016
"47","2005-01-06 19:30:00",298.920013427734
"48","2005-01-06 22:30:00",297.616241455078
"49","2005-01-07 01:30:00",294.970947265625
"50","2005-01-07 04:30:00",292.453948974609
